Sub Saharan Africa,East Asia and the Pacific,Europe and Eurasia,Near East,South and Central Asia,Western Hemisphere
Angola,Australia,Albania,Algeria,Afghanistan,Antigua and Barbuda
Benin,Brunei,Andorra,Bahrain,Bangladesh,Argentina
Botswana,Myanmar,Armenia,Egypt,Bhutan,The Bahamas
Burkina Faso,Cambodia,Austria,Iran,India,Barbados
Burundi,China,Azerbaijan,Iraq,Kazakhstan,Belize
Cabo Verde,Cook Islands,Belarus,Israel,Kyrgyzstan,Bolivia
Cameroon,Fiji,Belgium,Jordan,Maldives,Brazil
Central African Republic,Indonesia,Bosnia and Herzegovina,Kuwait,Nepal,Canada
Chad,Japan,Bulgaria,Lebanon,Pakistan,Chile
Comoros,Kiribati,Croatia,Libya,Sri Lanka,Colombia
Congo,Laos,Cyprus,Morocco,Tajikistan,Costa Rica
Côte d'Ivoire,Malaysia,Czechia,Oman,Turkmenistan,Cuba
Democratic Republic of the Congo,Marshall Islands,Denmark,Palestinian Territories,Uzbekistan,Dominica
Djibouti,Micronesia,Estonia,Qatar,,Dominican Republic
Equatorial Guinea,Mongolia,Finland,Saudi Arabia,,Ecuador
Eritrea,Nauru,France,Syria,,El Salvador
Eswatini,New Zealand,Georgia,Tunisia,,Grenada
Ethiopia,Niue,Germany,United Arab Emirates,,Guatemala
Gabon,North Korea,Greece,Yemen,,Guyana
The Gambia,Palau,Holy See,,,Haiti
Ghana,Papua New Guinea,Hungary,,,Honduras
Guinea,Philippines,Iceland,,,Jamaica
Guinea-Bissau,Samoa,Ireland,,,Mexico
Kenya,Singapore,Italy,,,Nicaragua
Lesotho,Solomon Islands,Kosovo,,,Panama
Liberia,South Korea,Latvia,,,Paraguay
Madagascar,Taiwan,Liechtenstein,,,Peru
Malawi,Thailand,Lithuania,,,Saint Kitts and Nevis
Mali,Timor-Leste,Luxembourg,,,Saint Lucia
Mauritania,Tonga,Malta,,,Saint Vincent and the Grenadines
Mauritius,Tuvalu,Moldova,,,Suriname
Mozambique,Vanuatu,Monaco,,,Trinidad and Tobago
Namibia,Vietnam,Montenegro,,,United States of America
Niger,Macao,Netherlands,,,Uruguay
Nigeria,Hong Kong,North Macedonia,,,Venezuela
Republic of the Congo,,Norway,,,
Rwanda,,Poland,,,
Sao Tome and Principe,,Portugal,,,
Senegal,,Romania,,,
Seychelles,,Russia,,,
Sierra Leone,,San Marino,,,
Somalia,,Serbia,,,
South Africa,,Slovakia,,,
South Sudan,,Slovenia,,,
Sudan,,Spain,,,
Tanzania,,Sweden,,,
Togo,,Switzerland,,,
Uganda,,Turkey,,,
Zambia,,Ukraine,,,
Zimbabwe,,United Kingdom,,,
